distance,hour,day,base_price,is_peak_hour,is_weekend,surge_level,cab_type,provider,trip_type,final_price
10.34,4,5,5.0,0,1,1,Economy,cab1,long,14.28
17.05,3,0,5.0,0,0,1,Minivan,cab2,long,34.92
25.12,18,4,5.0,1,0,2,Quickest,cab1,long,47.75
6.7,7,5,5.0,1,1,2,Economy,cab2,medium,18.44
27.81,7,6,5.0,1,1,2,BlackSUV,cab1,long,102.74
23.58,13,6,5.0,0,1,1,Quickest,cab2,long,36.76
5.2,22,0,5.0,0,0,1,Quickest,cab2,medium,12.37
6.39,14,2,5.0,0,0,1,Minivan,cab1,medium,18.33
1.2,6,3,5.0,0,0,1,Quickest,cab1,short,8.29
19.42,12,5,5.0,0,1,1,WaitAndSave,cab2,long,19.17
26.37,8,1,5.0,1,0,3,Economy,cab1,long,52.84
13.37,16,0,5.0,0,0,1,WaitAndSave,cab2,long,13.93
21.41,0,4,5.0,0,0,1,WaitAndSave,cab1,long,19.9
13.22,21,2,5.0,0,0,1,Quickest,cab2,long,23.47
15.46,21,3,5.0,0,0,1,Economy,cab2,long,19.48
6.16,21,3,5.0,0,0,1,BlackSUV,cab1,medium,21.7
12.48,0,2,5.0,0,0,1,BlackSUV,cab2,long,32.92
14.22,14,5,5.0,0,1,1,BlackSUV,cab2,long,36.23
8.87,21,5,5.0,0,1,1,Quickest,cab1,medium,16.76
7.13,6,1,5.0,0,0,1,Quickest,cab2,medium,14.81
13.93,20,4,5.0,1,0,2,Minivan,cab1,long,45.54
23.46,7,1,5.0,1,0,3,Economy,cab1,long,43.27
4.43,14,5,5.0,0,1,1,Economy,cab2,medium,9.42
18.57,23,4,5.0,0,0,1,WaitAndSave,cab2,long,18.11
22.44,15,3,5.0,0,0,1,Minivan,cab1,long,42.41
18.99,8,3,5.0,1,0,2,WaitAndSave,cab2,long,23.53
4.58,7,3,5.0,1,0,3,BlackSUV,cab1,medium,29.55
12.77,6,6,5.0,0,1,1,BlackSUV,cab2,long,34.26
25.77,18,3,5.0,1,0,2,BlackSUV,cab1,long,101.21
14.9,8,3,5.0,1,0,2,Minivan,cab1,long,41.87
27.63,19,4,5.0,1,0,2,Quickest,cab2,long,55.69
26.07,5,0,5.0,0,0,1,Minivan,cab1,long,48.16
10.46,12,2,5.0,0,0,1,Minivan,cab2,long,24.78
14.37,23,4,5.0,0,0,1,WaitAndSave,cab1,long,15.56
23.55,20,0,5.0,1,0,3,Quickest,cab1,long,60.08
4.22,21,0,5.0,0,0,1,Quickest,cab1,medium,11.32
5.45,19,5,5.0,1,1,3,WaitAndSave,cab2,medium,12.62
27.9,18,5,5.0,1,1,3,BlackSUV,cab1,long,83.07
3.51,9,6,5.0,1,1,3,BlackSUV,cab1,medium,26.44
16.22,21,2,5.0,0,0,1,Economy,cab2,long,20.15
24.76,3,3,5.0,0,0,1,Economy,cab2,long,29.29
13.35,23,4,5.0,0,0,1,Minivan,cab1,long,27.41
14.21,23,4,5.0,0,0,1,BlackSUV,cab2,long,36.9
26.51,7,6,5.0,1,1,2,Economy,cab2,long,43.35
14.88,11,6,5.0,0,1,1,WaitAndSave,cab1,long,15.44
16.9,16,1,5.0,0,0,1,BlackSUV,cab2,long,41.72
20.87,20,5,5.0,1,1,2,Minivan,cab1,long,64.16
20.09,11,3,5.0,0,0,1,Quickest,cab2,long,31.69
10.88,14,2,5.0,0,0,1,BlackSUV,cab2,long,29.65
4.03,17,6,5.0,1,1,3,Quickest,cab2,medium,14.59
29.43,6,2,5.0,0,0,1,BlackSUV,cab2,long,63.56
8.59,1,4,5.0,0,0,1,Economy,cab1,medium,13.72
26.25,18,2,5.0,1,0,2,Minivan,cab1,long,67.02
24.75,12,3,5.0,0,0,1,Minivan,cab1,long,46.83
4.9,18,2,5.0,1,0,2,Economy,cab1,medium,12.18
23.38,12,3,5.0,0,0,1,BlackSUV,cab1,long,52.79
9.51,19,0,5.0,1,0,3,BlackSUV,cab2,medium,44.45
19.98,5,1,5.0,0,0,1,Quickest,cab2,long,29.9
13.79,19,3,5.0,1,0,2,Economy,cab2,long,23.93
20.78,8,6,5.0,1,1,3,Minivan,cab1,long,56.9
19.61,8,6,5.0,1,1,2,Economy,cab1,long,27.55
13.46,14,5,5.0,0,1,1,BlackSUV,cab2,long,34.69
13.41,19,0,5.0,1,0,3,WaitAndSave,cab2,long,22.22
29.99,21,6,5.0,0,1,1,Quickest,cab1,long,43.39
15.81,14,2,5.0,0,0,1,Quickest,cab2,long,25.61
14.37,13,2,5.0,0,0,1,Minivan,cab1,long,29.84
12.64,15,2,5.0,0,0,1,Quickest,cab2,long,22.44
13.92,10,2,5.0,1,0,2,BlackSUV,cab1,long,63.54
12.69,6,4,5.0,0,0,1,Economy,cab2,long,16.93
6.5,17,1,5.0,1,0,3,Minivan,cab1,medium,24.1
21.44,9,4,5.0,1,0,2,BlackSUV,cab1,long,72.88
28.44,20,6,5.0,1,1,2,Economy,cab2,long,53.45
29.42,7,3,5.0,1,0,3,Minivan,cab2,long,73.73
8.65,13,2,5.0,0,0,1,Quickest,cab1,medium,16.85
21.92,18,4,5.0,1,0,3,Economy,cab2,long,36.3
16.78,17,3,5.0,1,0,2,WaitAndSave,cab2,long,22.13
7.39,13,0,5.0,0,0,1,BlackSUV,cab2,medium,23.53
29.66,20,1,5.0,1,0,2,Minivan,cab2,long,63.71
3.44,14,0,5.0,0,0,1,Economy,cab2,medium,8.4
14.35,8,2,5.0,1,0,3,Quickest,cab1,long,33.77
28.65,20,5,5.0,1,1,3,BlackSUV,cab2,long,94.57
29.92,23,0,5.0,0,0,1,Quickest,cab2,long,41.73
5.41,9,0,5.0,1,0,2,Economy,cab2,medium,15.88
16.17,18,5,5.0,1,1,3,Quickest,cab1,long,34.31
15.18,18,1,5.0,1,0,2,BlackSUV,cab1,long,60.59
20.49,5,0,5.0,0,0,1,Minivan,cab2,long,38.07
19.35,13,5,5.0,0,1,1,BlackSUV,cab2,long,46.62
25.67,3,1,5.0,0,0,1,Quickest,cab2,long,37.17
1.15,21,3,5.0,0,0,1,WaitAndSave,cab2,short,4.79
25.07,9,6,5.0,1,1,3,Economy,cab2,long,42.62
20.49,23,6,5.0,0,1,1,BlackSUV,cab2,long,50.75
9.61,14,0,5.0,0,0,1,Economy,cab1,medium,14.01
10.14,13,1,5.0,0,0,1,Economy,cab2,long,14.55
25.0,8,6,5.0,1,1,3,WaitAndSave,cab2,long,39.17
28.91,4,6,5.0,0,1,1,Economy,cab2,long,33.71
3.16,12,0,5.0,0,0,1,Minivan,cab2,medium,12.31
17.74,20,2,5.0,1,0,2,WaitAndSave,cab2,long,22.43
27.5,7,5,5.0,1,1,2,BlackSUV,cab2,long,102.08
4.62,1,2,5.0,0,0,1,Minivan,cab1,medium,14.44
11.97,11,5,5.0,0,1,1,Quickest,cab1,long,21.06
17.83,23,1,5.0,0,0,1,BlackSUV,cab2,long,45.1
28.2,8,0,5.0,1,0,3,Minivan,cab2,long,62.71
29.44,11,4,5.0,0,0,1,WaitAndSave,cab1,long,26.03
8.64,3,6,5.0,0,1,1,Economy,cab2,medium,13.2
1.99,10,1,5.0,1,0,3,Quickest,cab1,short,14.88
17.8,7,2,5.0,1,0,3,BlackSUV,cab1,long,68.09
16.44,5,0,5.0,0,0,1,Quickest,cab1,long,25.64
23.8,7,4,5.0,1,0,2,Economy,cab2,long,34.24
22.5,15,3,5.0,0,0,1,BlackSUV,cab1,long,51.73
15.36,19,0,5.0,1,0,3,Economy,cab2,long,33.09
29.96,12,3,5.0,0,0,1,Economy,cab1,long,32.78
27.03,10,4,5.0,1,0,2,Minivan,cab1,long,59.06
29.84,16,2,5.0,0,0,1,WaitAndSave,cab2,long,26.28
25.66,20,6,5.0,1,1,3,Economy,cab1,long,50.33
24.91,12,3,5.0,0,0,1,Minivan,cab2,long,46.34
11.54,4,5,5.0,0,1,1,WaitAndSave,cab2,long,12.74
13.24,23,5,5.0,0,1,1,Economy,cab1,long,17.6
20.27,13,2,5.0,0,0,1,Economy,cab2,long,25.29
29.07,19,2,5.0,1,0,2,Minivan,cab1,long,79.52
10.83,17,2,5.0,1,0,2,Quickest,cab1,long,26.47
18.47,21,6,5.0,0,1,1,BlackSUV,cab1,long,43.15
27.69,11,0,5.0,0,0,1,WaitAndSave,cab2,long,24.11
4.69,20,0,5.0,1,0,2,Minivan,cab1,medium,22.4
9.69,10,6,5.0,1,1,3,Quickest,cab2,medium,27.64
20.38,8,3,5.0,1,0,3,BlackSUV,cab1,long,70.22
10.68,3,2,5.0,0,0,1,BlackSUV,cab1,long,29.82
1.84,12,4,5.0,0,0,1,BlackSUV,cab2,short,13.03
23.04,9,2,5.0,1,0,2,Quickest,cab1,long,50.25
15.26,21,6,5.0,0,1,1,BlackSUV,cab1,long,39.57
1.05,2,6,5.0,0,1,1,Economy,cab2,short,5.86
9.04,12,0,5.0,0,0,1,Minivan,cab2,medium,21.81
25.04,11,0,5.0,0,0,1,BlackSUV,cab2,long,55.31
15.96,12,6,5.0,0,1,1,Minivan,cab2,long,31.36
2.75,20,0,5.0,1,0,3,WaitAndSave,cab1,short,7.47
3.53,8,1,5.0,1,0,2,Quickest,cab1,medium,12.89
22.76,18,3,5.0,1,0,3,Minivan,cab2,long,73.75
4.95,2,3,5.0,0,0,1,WaitAndSave,cab2,medium,7.53
10.88,2,2,5.0,0,0,1,WaitAndSave,cab1,long,12.22
2.76,2,4,5.0,0,0,1,WaitAndSave,cab2,short,6.18
13.77,18,5,5.0,1,1,2,BlackSUV,cab1,long,54.3
24.42,10,5,5.0,1,1,2,Minivan,cab1,long,70.75
11.23,9,3,5.0,1,0,2,Minivan,cab1,long,33.51
10.23,17,5,5.0,1,1,2,WaitAndSave,cab1,long,15.29
10.33,18,5,5.0,1,1,2,BlackSUV,cab1,long,39.62
18.05,2,2,5.0,0,0,1,Minivan,cab1,long,34.98
20.27,23,5,5.0,0,1,1,WaitAndSave,cab1,long,18.63
1.04,9,1,5.0,1,0,3,Minivan,cab2,short,12.96
2.78,3,4,5.0,0,0,1,Quickest,cab1,short,9.9
20.03,19,1,5.0,1,0,3,BlackSUV,cab1,long,61.3
21.77,1,3,5.0,0,0,1,BlackSUV,cab1,long,52.97
22.7,14,1,5.0,0,0,1,Minivan,cab2,long,42.94
11.35,18,3,5.0,1,0,2,Minivan,cab1,long,33.84
24.14,4,6,5.0,0,1,1,Quickest,cab1,long,37.3
21.49,16,6,5.0,0,1,1,WaitAndSave,cab1,long,20.31
13.75,16,1,5.0,0,0,1,Quickest,cab2,long,23.46
26.6,0,3,5.0,0,0,1,Quickest,cab2,long,38.57
29.84,11,1,5.0,0,0,1,Quickest,cab2,long,43.4
4.56,9,6,5.0,1,1,2,WaitAndSave,cab1,medium,11.89
27.22,0,2,5.0,0,0,1,BlackSUV,cab1,long,61.85
3.78,9,1,5.0,1,0,2,BlackSUV,cab2,medium,20.12
3.77,15,4,5.0,0,0,1,Minivan,cab1,medium,13.54
21.7,9,3,5.0,1,0,2,BlackSUV,cab1,long,66.86
2.5,16,4,5.0,0,0,1,Economy,cab2,short,7.71
12.02,15,0,5.0,0,0,1,BlackSUV,cab1,long,32.96
11.03,2,2,5.0,0,0,1,WaitAndSave,cab1,long,12.73
4.44,11,4,5.0,0,0,1,Economy,cab2,medium,9.1
19.14,4,0,5.0,0,0,1,Minivan,cab2,long,38.67
6.45,6,0,5.0,0,0,1,Economy,cab2,medium,10.8
7.97,20,1,5.0,1,0,2,Minivan,cab2,medium,32.69
24.08,13,3,5.0,0,0,1,WaitAndSave,cab1,long,22.29
29.22,15,5,5.0,0,1,1,Minivan,cab2,long,52.46
24.13,23,3,5.0,0,0,1,BlackSUV,cab2,long,55.01
9.98,2,2,5.0,0,0,1,Quickest,cab2,medium,19.02
5.42,14,2,5.0,0,0,1,BlackSUV,cab2,medium,20.12
8.6,1,0,5.0,0,0,1,WaitAndSave,cab2,medium,10.7
28.61,4,6,5.0,0,1,1,BlackSUV,cab1,long,63.96
2.48,20,2,5.0,1,0,2,Economy,cab1,short,12.5
11.47,2,4,5.0,0,0,1,Minivan,cab2,long,24.76
7.86,3,0,5.0,0,0,1,WaitAndSave,cab2,medium,10.17
8.22,8,5,5.0,1,1,2,Minivan,cab1,medium,36.77
4.12,2,3,5.0,0,0,1,Minivan,cab1,medium,14.7
20.2,22,0,5.0,0,0,1,Economy,cab2,long,24.42
21.5,22,5,5.0,0,1,1,WaitAndSave,cab1,long,20.6
29.56,4,1,5.0,0,0,1,Quickest,cab1,long,41.15
14.29,17,1,5.0,1,0,3,BlackSUV,cab2,long,44.77
23.19,18,0,5.0,1,0,2,Minivan,cab2,long,56.37
4.29,17,5,5.0,1,1,3,BlackSUV,cab2,medium,28.31
15.78,9,1,5.0,1,0,2,Economy,cab1,long,35.18
25.46,8,1,5.0,1,0,3,BlackSUV,cab2,long,83.08
15.33,5,4,5.0,0,0,1,BlackSUV,cab1,long,37.68
25.35,18,0,5.0,1,0,3,BlackSUV,cab2,long,66.95
19.71,18,3,5.0,1,0,3,BlackSUV,cab2,long,56.63
7.72,21,3,5.0,0,0,1,WaitAndSave,cab2,medium,9.46
13.47,15,3,5.0,0,0,1,Economy,cab1,long,18.25
22.16,11,3,5.0,0,0,1,WaitAndSave,cab2,long,20.29
9.91,14,0,5.0,0,0,1,BlackSUV,cab1,medium,29.03
9.06,12,6,5.0,0,1,1,Economy,cab1,medium,13.17
28.05,23,2,5.0,0,0,1,Quickest,cab2,long,39.63
15.21,9,3,5.0,1,0,2,BlackSUV,cab2,long,68.76
1.94,9,3,5.0,1,0,3,Quickest,cab2,short,14.67
13.21,8,5,5.0,1,1,2,Economy,cab1,long,24.18
11.19,9,0,5.0,1,0,2,BlackSUV,cab1,long,43.87
4.3,3,3,5.0,0,0,1,BlackSUV,cab1,medium,18.98
22.77,6,4,5.0,0,0,1,BlackSUV,cab2,long,54.33
4.54,10,6,5.0,1,1,2,Economy,cab1,medium,12.9
5.29,19,5,5.0,1,1,3,WaitAndSave,cab2,medium,12.21
14.51,0,2,5.0,0,0,1,Minivan,cab2,long,28.88
24.0,23,6,5.0,0,1,1,Minivan,cab2,long,44.3
29.03,18,4,5.0,1,0,2,Minivan,cab2,long,60.33
4.86,21,1,5.0,0,0,1,BlackSUV,cab2,medium,19.27
1.06,10,3,5.0,1,0,2,Economy,cab1,short,9.61
21.32,16,1,5.0,0,0,1,Minivan,cab1,long,40.58
9.76,5,3,5.0,0,0,1,Minivan,cab2,medium,23.11
18.5,6,1,5.0,0,0,1,WaitAndSave,cab2,long,17.52
21.29,22,5,5.0,0,1,1,WaitAndSave,cab2,long,19.76
8.99,18,5,5.0,1,1,3,BlackSUV,cab2,medium,43.85
1.74,22,0,5.0,0,0,1,Quickest,cab2,short,8.45
6.81,17,2,5.0,1,0,3,WaitAndSave,cab2,medium,14.02
7.65,21,4,5.0,0,0,1,BlackSUV,cab1,medium,24.69
10.24,15,0,5.0,0,0,1,Economy,cab2,long,14.75
12.5,15,3,5.0,0,0,1,BlackSUV,cab1,long,33.5
8.92,1,6,5.0,0,1,1,WaitAndSave,cab2,medium,10.6
27.44,5,3,5.0,0,0,1,BlackSUV,cab1,long,59.91
23.74,5,5,5.0,0,1,1,Economy,cab2,long,28.7
9.3,19,0,5.0,1,0,3,Economy,cab1,medium,19.08
26.73,4,6,5.0,0,1,1,BlackSUV,cab2,long,61.3
5.29,14,5,5.0,0,1,1,Economy,cab2,medium,9.67
17.25,6,1,5.0,0,0,1,WaitAndSave,cab2,long,17.57
15.7,2,3,5.0,0,0,1,Minivan,cab2,long,31.99
10.05,7,0,5.0,1,0,2,Quickest,cab2,long,25.36
8.22,11,5,5.0,0,1,1,WaitAndSave,cab1,medium,10.54
5.21,21,4,5.0,0,0,1,Minivan,cab2,medium,16.55
19.34,9,2,5.0,1,0,3,WaitAndSave,cab1,long,23.91
12.77,17,3,5.0,1,0,3,BlackSUV,cab2,long,57.04
16.0,16,5,5.0,0,1,1,BlackSUV,cab1,long,42.07
24.95,16,1,5.0,0,0,1,Economy,cab1,long,27.64
3.93,6,5,5.0,0,1,1,WaitAndSave,cab2,medium,6.98
24.36,14,1,5.0,0,0,1,BlackSUV,cab2,long,57.29
20.35,9,5,5.0,1,1,2,Economy,cab2,long,30.48
13.0,22,0,5.0,0,0,1,Economy,cab1,long,16.63
1.44,13,1,5.0,0,0,1,Economy,cab2,short,6.58
29.79,12,3,5.0,0,0,1,Minivan,cab2,long,55.45
20.64,21,6,5.0,0,1,1,Minivan,cab1,long,38.88
5.76,17,3,5.0,1,0,3,WaitAndSave,cab1,medium,13.07
14.16,23,4,5.0,0,0,1,Economy,cab2,long,17.97
14.09,4,2,5.0,0,0,1,Quickest,cab1,long,24.84
24.38,13,4,5.0,0,0,1,Economy,cab1,long,28.13
6.58,3,4,5.0,0,0,1,Economy,cab1,medium,11.53
22.35,12,3,5.0,0,0,1,Economy,cab1,long,26.38
15.36,9,1,5.0,1,0,3,Economy,cab1,long,31.54
9.4,4,5,5.0,0,1,1,WaitAndSave,cab1,medium,10.87
16.92,18,5,5.0,1,1,3,WaitAndSave,cab1,long,25.96
23.68,10,5,5.0,1,1,2,WaitAndSave,cab2,long,26.98
25.56,9,6,5.0,1,1,3,Minivan,cab1,long,74.31
11.96,8,1,5.0,1,0,2,Minivan,cab1,long,31.72
2.02,12,5,5.0,0,1,1,BlackSUV,cab1,short,13.25
24.24,18,5,5.0,1,1,3,Economy,cab1,long,37.19
6.75,6,5,5.0,0,1,1,WaitAndSave,cab1,medium,9.55
21.02,22,1,5.0,0,0,1,Minivan,cab1,long,40.22
11.73,17,5,5.0,1,1,2,WaitAndSave,cab2,long,17.13
22.97,10,1,5.0,1,0,2,Economy,cab2,long,37.44
8.19,18,4,5.0,1,0,3,Quickest,cab1,medium,22.06
15.23,20,5,5.0,1,1,2,BlackSUV,cab1,long,63.81
5.46,11,1,5.0,0,0,1,Minivan,cab2,medium,16.01
15.96,2,6,5.0,0,1,1,Quickest,cab1,long,26.03
25.36,7,0,5.0,1,0,3,Minivan,cab1,long,52.36
19.95,0,0,5.0,0,0,1,BlackSUV,cab2,long,48.65
16.3,9,0,5.0,1,0,3,Economy,cab2,long,31.83
27.58,16,1,5.0,0,0,1,Quickest,cab1,long,41.62
8.39,12,0,5.0,0,0,1,WaitAndSave,cab2,medium,10.12
29.71,7,2,5.0,1,0,3,BlackSUV,cab1,long,108.55
12.46,12,4,5.0,0,0,1,Economy,cab1,long,17.29
15.25,13,5,5.0,0,1,1,Quickest,cab1,long,24.91
7.28,22,4,5.0,0,0,1,Economy,cab1,medium,11.88
27.03,18,5,5.0,1,1,2,Economy,cab2,long,51.8
22.69,22,6,5.0,0,1,1,BlackSUV,cab1,long,53.03
17.22,12,5,5.0,0,1,1,Quickest,cab1,long,26.98
15.27,11,0,5.0,0,0,1,Quickest,cab1,long,25.52
18.35,19,4,5.0,1,0,2,Economy,cab2,long,34.66
7.23,17,3,5.0,1,0,2,Minivan,cab2,medium,29.23
24.04,22,0,5.0,0,0,1,BlackSUV,cab2,long,53.62
9.84,3,0,5.0,0,0,1,Quickest,cab2,medium,18.1
3.52,2,1,5.0,0,0,1,WaitAndSave,cab2,medium,6.56
3.55,2,2,5.0,0,0,1,BlackSUV,cab2,medium,17.16
0.86,13,3,5.0,0,0,1,WaitAndSave,cab2,short,4.8
17.37,5,5,5.0,0,1,1,BlackSUV,cab1,long,43.07
15.05,2,1,5.0,0,0,1,WaitAndSave,cab2,long,15.07
11.15,7,5,5.0,1,1,3,Minivan,cab1,long,37.21
28.49,10,6,5.0,1,1,3,WaitAndSave,cab1,long,41.84
9.36,19,5,5.0,1,1,2,BlackSUV,cab1,medium,37.08
29.05,7,2,5.0,1,0,2,WaitAndSave,cab2,long,40.59
17.97,17,1,5.0,1,0,3,BlackSUV,cab1,long,63.31
24.03,22,0,5.0,0,0,1,Quickest,cab2,long,37.45
4.61,9,1,5.0,1,0,2,Minivan,cab2,medium,18.1
17.68,17,4,5.0,1,0,3,Minivan,cab2,long,55.09
3.73,7,5,5.0,1,1,3,WaitAndSave,cab1,medium,8.37
28.99,13,0,5.0,0,0,1,Minivan,cab2,long,50.41
13.65,12,3,5.0,0,0,1,BlackSUV,cab1,long,35.37
10.68,0,3,5.0,0,0,1,BlackSUV,cab1,long,30.77
25.02,23,1,5.0,0,0,1,Economy,cab1,long,29.11
10.77,3,3,5.0,0,0,1,Quickest,cab2,long,20.15
1.82,22,0,5.0,0,0,1,Economy,cab2,short,6.54
27.93,23,1,5.0,0,0,1,Economy,cab1,long,30.98
28.77,7,6,5.0,1,1,2,WaitAndSave,cab2,long,33.03
13.76,13,3,5.0,0,0,1,Economy,cab1,long,18.17
17.53,17,1,5.0,1,0,2,WaitAndSave,cab1,long,22.51
18.11,19,3,5.0,1,0,3,Minivan,cab2,long,49.21
20.33,10,0,5.0,1,0,2,WaitAndSave,cab1,long,23.72
18.09,18,3,5.0,1,0,2,Minivan,cab2,long,52.85
14.94,4,1,5.0,0,0,1,Quickest,cab1,long,25.39
28.58,15,1,5.0,0,0,1,Economy,cab2,long,31.33
12.57,15,3,5.0,0,0,1,BlackSUV,cab2,long,34.46
17.18,7,2,5.0,1,0,2,Quickest,cab1,long,36.68
16.72,3,4,5.0,0,0,1,BlackSUV,cab2,long,41.5
22.92,14,4,5.0,0,0,1,WaitAndSave,cab1,long,21.77
26.31,1,3,5.0,0,0,1,Quickest,cab2,long,38.91
26.03,3,6,5.0,0,1,1,Economy,cab2,long,29.88
25.9,19,5,5.0,1,1,2,BlackSUV,cab2,long,92.27
16.2,19,4,5.0,1,0,2,Economy,cab2,long,34.35
4.5,13,0,5.0,0,0,1,BlackSUV,cab1,medium,18.51
7.87,22,2,5.0,0,0,1,Quickest,cab1,medium,16.1
4.69,20,2,5.0,1,0,3,Minivan,cab2,medium,20.55
15.71,8,5,5.0,1,1,3,Economy,cab2,long,27.45
22.06,14,5,5.0,0,1,1,Economy,cab1,long,25.26
6.93,13,6,5.0,0,1,1,Economy,cab2,medium,11.22
16.65,4,4,5.0,0,0,1,WaitAndSave,cab2,long,17.23
3.44,14,0,5.0,0,0,1,Economy,cab1,medium,8.58
0.52,13,1,5.0,0,0,1,Minivan,cab2,short,9.15
26.3,8,0,5.0,1,0,3,WaitAndSave,cab1,long,32.3
12.19,9,5,5.0,1,1,3,Quickest,cab1,long,27.41
14.57,4,4,5.0,0,0,1,Economy,cab1,long,19.39
21.02,3,6,5.0,0,1,1,Economy,cab1,long,25.0
11.8,23,6,5.0,0,1,1,Economy,cab1,long,16.38
11.79,4,5,5.0,0,1,1,WaitAndSave,cab1,long,12.47
18.5,5,3,5.0,0,0,1,BlackSUV,cab1,long,45.39
18.67,14,6,5.0,0,1,1,Quickest,cab2,long,29.54
17.89,12,2,5.0,0,0,1,Quickest,cab1,long,27.76
8.67,2,1,5.0,0,0,1,Quickest,cab1,medium,16.95
23.48,22,0,5.0,0,0,1,BlackSUV,cab2,long,56.15
15.77,16,1,5.0,0,0,1,WaitAndSave,cab1,long,15.51
15.1,3,1,5.0,0,0,1,Economy,cab1,long,19.82
29.61,10,1,5.0,1,0,2,BlackSUV,cab1,long,110.58
28.66,2,0,5.0,0,0,1,Quickest,cab2,long,41.69
27.72,12,4,5.0,0,0,1,Quickest,cab1,long,41.99
21.2,2,5,5.0,0,1,1,Minivan,cab2,long,41.27
9.64,16,1,5.0,0,0,1,WaitAndSave,cab1,medium,10.91
17.8,20,5,5.0,1,1,3,WaitAndSave,cab2,long,23.33
7.71,13,0,5.0,0,0,1,Quickest,cab1,medium,16.43
4.02,22,1,5.0,0,0,1,WaitAndSave,cab1,medium,6.8
5.43,4,5,5.0,0,1,1,WaitAndSave,cab2,medium,8.19
10.38,13,2,5.0,0,0,1,Economy,cab1,long,14.39
15.14,16,2,5.0,0,0,1,BlackSUV,cab1,long,40.25
5.14,3,4,5.0,0,0,1,Quickest,cab2,medium,12.85
1.8,0,1,5.0,0,0,1,BlackSUV,cab1,short,13.6
27.97,1,4,5.0,0,0,1,Quickest,cab1,long,40.65
9.99,13,5,5.0,0,1,1,Minivan,cab1,medium,24.03
4.02,21,0,5.0,0,0,1,BlackSUV,cab2,medium,17.55
2.53,14,6,5.0,0,1,1,Economy,cab2,short,7.38
16.82,0,2,5.0,0,0,1,WaitAndSave,cab1,long,17.17
14.19,18,3,5.0,1,0,3,WaitAndSave,cab1,long,23.18
0.69,13,0,5.0,0,0,1,Quickest,cab1,short,7.44
0.54,21,3,5.0,0,0,1,Economy,cab2,short,5.69
16.13,7,3,5.0,1,0,2,Economy,cab1,long,23.84
27.68,16,3,5.0,0,0,1,Economy,cab1,long,30.47
